motion,side,source,turn_index,tread_mm,turn_angle_deg,body_lateral_mm,body_forward_mm,lstart_mm,lend_mm,matrix_determinant,feasible_nonnegative
in135,R,20260723_003246_myshell_debug_log_in_r135.csv,1,35.1,134.34704830053667,83.57904409684055,29.446529938052354,21.829720345314062,8.978863643567333,-0.7151189903367755,True
in135,R,20260723_003326_myshell_debug_log_in_r135.csv,1,35.1,133.89922480620154,83.86711056945548,28.09409220826154,22.807559346972003,8.511276276016142,-0.7205604931220884,True
in135,L,20260723_003413_myshell_debug_log_in_l135.csv,1,35.1,132.55575432319614,83.47206590860704,29.265353045319564,21.728093006141147,8.862015519809276,-0.7366195733691804,True
in135,L,20260723_003455_myshell_debug_log_in_l135.csv,1,35.1,133.00357781753127,83.8596210749299,28.634201437267627,22.092511449105785,8.396397669620006,-0.7313111130130631,True
out135,R,20260723_020111_myshell_debug_log_out_r135.csv,1,35.1,134.34704830053667,75.70959084243519,-39.195198434200705,19.889459512044354,19.87006353330323,-0.7151189903367754,True
out135,R,20260723_020149_myshell_debug_log_out_r135.csv,1,35.1,134.79487179487174,76.0135940004691,-39.638715847328044,19.68215452813201,19.278792641323047,-0.7096338013198294,True
out135,L,20260723_020232_myshell_debug_log_out_l135.csv,1,35.1,133.45140131186642,75.50326688726717,-39.22133070155341,19.74669485181825,19.748904186432572,-0.7259579772573115,True
out135,L,20260723_020330_myshell_debug_log_out_l135.csv,1,35.1,133.4514013118664,76.19578865166307,-38.8944650947212,18.780933269554033,19.392743145854524,-0.7259579772573118,True
v90,R,20260721_040839_myshell_debug_log_r_v90.csv,1,35.1,90.01252236135952,73.53753341725249,-6.598296793249325,16.307946598336002,6.975021515517277,-0.9999999761165423,True
v90,R,20260721_040839_myshell_debug_log_r_v90.csv,2,35.1,89.56469886702445,73.23610334403801,-6.641526849331079,16.49575323641388,7.157802908953949,-0.9999711396066782,True
v90,R,20260721_040839_myshell_debug_log_r_v90.csv,3,35.1,85.98211091234344,74.44068629799588,-5.610743196225961,14.475369343087465,7.052034001573736,-0.9975422220281905,True
v90,R,20260721_040839_myshell_debug_log_r_v90.csv,4,35.1,89.1168753726893,73.69763178273708,-6.964922399598933,16.350682629018596,6.603355633578356,-0.9998812154017283,True
v90,R,20260721_041024_myshell_debug_log_r_v90.csv,1,35.1,90.01252236135956,73.69368099871588,-6.238930114473831,15.94345437515891,7.118719120725273,-0.9999999761165423,True
v90,R,20260721_041024_myshell_debug_log_r_v90.csv,2,35.1,89.56469886702443,72.88173937925029,-6.768561484016445,16.834932168444574,7.318553659161799,-0.9999711396066782,True
v90,R,20260721_041024_myshell_debug_log_r_v90.csv,3,35.1,89.56469886702442,72.76527139503455,-6.841209047128878,16.96842163779521,7.349540270364188,-0.9999711396066782,True
v90,R,20260721_041024_myshell_debug_log_r_v90.csv,4,35.1,89.11687537268934,73.55182462903471,-6.80715729372853,16.338918201278403,6.81803913799621,-0.9998812154017283,True
v90,L,20260721_041221_myshell_debug_log_l_v90.csv,1,35.1,89.56469886702442,73.26106293490923,-7.180663343381681,16.86236170664039,6.758915230009641,-0.9999711396066782,True
v90,L,20260721_041221_myshell_debug_log_l_v90.csv,2,35.1,88.66905187835418,73.01020761756352,-6.987077203783997,16.789876065481767,7.074896476532649,-0.9997302089951134,True
v90,L,20260721_041221_myshell_debug_log_l_v90.csv,3,35.1,88.66905187835417,73.85594432119785,-7.365131403428258,16.479279816126507,6.209312103192049,-0.9997302089951134,True
v90,L,20260721_041221_myshell_debug_log_l_v90.csv,4,35.1,89.1168753726893,74.01231802167788,-7.558390698358096,16.55771002207904,5.961117113560777,-0.9998812154017283,True
v90,L,20260721_041322_myshell_debug_log_l_v90.csv,1,35.1,88.22122838401904,73.81029954326888,-6.789640795135227,16.042427572383726,6.65005039263727,-0.9995181296117334,True
v90,L,20260721_041322_myshell_debug_log_l_v90.csv,2,35.1,87.77340488968395,73.04059122609156,-6.675426217012088,16.429614437519685,7.277368287907286,-0.9992449902074025,True
v90,L,20260721_041322_myshell_debug_log_l_v90.csv,3,35.1,86.87775790101368,73.84580323878998,-6.467093304512488,15.622027861594864,6.859999515158771,-0.9985156018087462,True
v90,L,20260721_041322_myshell_debug_log_l_v90.csv,4,35.1,87.32558139534882,74.251806058059,-6.6611880869795,15.545683053897942,6.432489680446864,-0.9989108074680594,True
