frame,time_video_s,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
13,0.4343826971288954,37.529930114746094,70.49859619140625,40.41437530517578,16.33460807800293,38.995628356933594,43.41072082519531,1.6231469267050522,54.31052780151367,2.8658806529930128,0,False
14,0.467796750754195,37.576881408691406,70.51499938964844,40.49174499511719,16.271408081054688,39.005977630615234,43.40513229370117,1.623690919680957,54.34345245361328,2.634946919565362,0,False
15,0.5012108043794946,37.589534759521484,70.51499938964844,40.525299072265625,16.24371910095215,39.05517578125,43.383331298828125,1.6241231554147595,54.350624084472656,2.6247632240539116,0,False
16,0.5346248580047943,37.61861038208008,70.51499938964844,40.571815490722656,16.23999786376953,39.05741882324219,43.37936019897461,1.6242236880910195,54.350624084472656,2.3147918026688834,0,False
17,0.5680389116300939,37.70694351196289,70.50233459472656,40.6103401184082,16.230491638183594,39.15864181518555,43.36454391479492,1.624837909823884,54.35839080810547,1.573558103747643,0,False
18,0.6014529652553936,37.816795349121094,70.51499938964844,40.714603424072266,16.232812881469727,39.26570129394531,43.37936019897461,1.624837909823884,54.369041442871094,1.573558103747643,0,False
19,0.6348670188806932,37.83661651611328,70.5119400024414,40.831520080566406,16.232812881469727,39.334068298339844,43.379798889160156,1.6258635134190784,54.369041442871094,1.573558103747643,0,False
20,0.6682810725059929,37.944313049316406,70.5119400024414,40.93790054321289,16.232812881469727,39.44110870361328,43.379798889160156,1.6259089456555398,54.369041442871094,1.573558103747643,0,False
21,0.7016951261312925,37.95826721191406,70.5403060913086,41.01914596557617,16.232812881469727,39.48870849609375,43.383846282958984,1.62602361277931,54.38994216918945,1.904538605987421,0,False
22,0.7351091797565922,37.95826721191406,70.54276275634766,41.04082489013672,16.232812881469727,39.53938293457031,43.386558532714844,1.6268353074363235,54.40077590942383,1.904538605987421,0,False
23,0.7685232333818918,38.02467727661133,70.59464263916016,41.07707977294922,16.224929809570312,39.54035568237305,43.42469787597656,1.6271434988824447,54.425323486328125,1.904538605987421,0,False
24,0.8019372870071915,38.02467727661133,70.59464263916016,41.14235305786133,16.219730377197266,39.55290985107422,43.42469787597656,1.6295810232515333,54.4770393371582,1.904538605987421,0,False
25,0.8353513406324911,38.02467727661133,70.59464263916016,41.22893524169922,16.219013214111328,39.621421813964844,43.42469787597656,1.6295986979786572,54.518924713134766,1.904538605987421,0,False
26,0.8687653942577908,38.02467727661133,70.58707427978516,41.253299713134766,16.05506706237793,39.626808166503906,43.32107162475586,1.6295986979786572,54.53977584838867,1.904538605987421,0,False
27,0.9021794478830903,38.04718017578125,70.54130554199219,41.35184097290039,16.05506706237793,39.69950866699219,43.32107162475586,1.6295810232515333,54.53977584838867,1.9415998836690358,0,False
28,0.93559350150839,38.15625762939453,70.51636505126953,41.357879638671875,16.05506706237793,39.7570686340332,43.32107162475586,1.6294398876097833,54.4770393371582,1.949186845002688,0,False
29,0.9690075551336896,38.40361022949219,70.51636505126953,41.4686393737793,16.289865493774414,39.936126708984375,43.40097427368164,1.6276773312604917,54.337955474853516,1.949186845002688,0,False
30,1.0024216087589892,38.50840377807617,70.49518585205078,41.591461181640625,16.309202194213867,40.05107498168945,43.415584564208984,1.6276773312604917,54.27131271362305,1.949186845002688,0,False
31,1.035835662384289,38.51504898071289,70.49518585205078,41.593746185302734,16.309202194213867,40.053253173828125,43.41558837890625,1.6276773312604917,54.27131271362305,1.949186845002688,0,False
32,1.0692497160095886,38.622520446777344,70.49518585205078,41.76014709472656,16.34699821472168,40.19133377075195,43.42510986328125,1.628388628934866,54.27131271362305,1.8766999114222158,0,False
33,1.1026637696348882,38.67301940917969,70.5232162475586,41.80733108520508,16.34699821472168,40.243751525878906,43.42510986328125,1.6287184687019827,54.307861328125,1.8766999114222158,0,False
34,1.1360778232601878,38.680171966552734,70.56680297851562,41.84135818481445,16.320045471191406,40.27214813232422,43.42510986328125,1.6287184687019827,54.328243255615234,1.8766999114222158,0,False
