speed_mm_s,direction,cohort,turns,speed_error_mean_mm_s,speed_error_rms_mm_s,turn_fluctuation_rms_mm_s,speed_ripple_rms_mm_s,speed_error_peak_positive_mm_s,speed_error_peak_negative_mm_s,feedback_rms_v,motor_voltage_delta_rms_v,fit_k_alpha,fit_k_omega2,fit_rmse_v,fit_samples,fit_rejected,constrained_k_alpha,constrained_k_omega2,constrained_rmse_v,constrained_samples,constrained_rejected,response_lag_phase_samples,response_voltage_gain_mps2_per_v,response_k_alpha_from_response,response_k_omega2_from_response,response_rmse_mps2,response_condition_number,response_valid,recommended_k_alpha,recommended_k_omega2,recommended_predicted_speed_rms_mm_s,recommended_ff_min_v,recommended_ff_max_v
350,right,old_trial,14,-5.098463978933458,31.020512398618216,32.635455892180005,29.89265965612383,59.433593750000085,-85.29296875,0.12018174943874729,0.24442922623522995,-0.0001893499759726173,-0.0006876585469409308,0.038138803748019826,2808,6,-0.0001574356765351458,3.2046590326298134e-19,0.05926781789283663,2808,6,15,-0.24755178559675786,,,3.9861944143156776,7.742297715734892,False,-0.0004393185556959198,0.00036570013469067105,23.433076106720595,-0.16632787942543115,0.35
350,right,current,4,-10.458935789800995,21.466328301977757,30.997100488354285,16.87258425777942,34.912109375,-72.40722656250003,0.08953483164127624,0.11283672761521121,-0.00035421149247017965,8.324834252376886e-05,0.030856691753807036,802,2,-0.00035421149247017965,8.324834252376886e-05,0.030856691753807036,802,2,0,6.129907914620766,-0.0010309082768704609,0.001521715351860847,3.2687200455102734,6.851271068293505,True,-0.0004393185556959198,0.00036570013469067105,23.433076106720595,-0.16632787942543115,0.35
350,left,baseline,40,-4.098445911312577,19.089483495581344,20.756545552396087,18.356477662730992,28.381347656250075,-69.9658203125,0.053340708286170435,0.06198616487472054,-0.00010168454651819364,-8.60122564594213e-05,0.027429014514880435,8015,25,-0.00010060659776198079,2.986676144132423e-17,0.02737725464253647,7979,61,0,3.5320269090561642,-0.0021893264353757373,0.0021301042283974033,3.1558032277573558,8.173585241439284,True,-0.0001613871864891309,0.0001943577860679699,18.370186037999996,-0.06022895743717295,0.35
350,left,old_trial,8,-2.7715821527129956,26.087335144105765,26.255396026450384,25.75567291792162,41.401367187499986,-68.10302734375,0.07805531665505516,0.11232663685800495,-0.00016873139079107122,-0.00047647228984526446,0.037826867526544516,1604,4,-0.00014750217607882834,9.689000138426697e-18,0.049805531623860366,1604,4,0,-1.1210915981247047,,,3.082493618685309,11.961884516876665,False,-0.0001613871864891309,0.0001943577860679699,18.370186037999996,-0.06022895743717295,0.35
350,left,current,4,-7.827075559701493,18.496336886027333,24.79396495510985,15.846324912636586,23.92578125,-63.13476562500001,0.07536675760277449,0.075656112692948,-0.0001829013957356596,-2.1802570222816575e-05,0.028488185182035625,802,2,-0.0001821734041826103,5.724059725938363e-18,0.028345084055553478,801,3,0,8.598258299300698,-0.0008110632513301352,0.0008823091699121421,3.212647367260474,6.226522890446417,True,-0.0001613871864891309,0.0001943577860679699,18.370186037999996,-0.06022895743717295,0.35
370,right,baseline,60,-4.6300912227599005,29.769658679199654,38.18187821076465,27.64410662751028,93.52416992187501,-98.876953125,0.09416893232269692,0.1442024686786016,-0.0001529385634386412,-0.0002266526053492458,0.042580798477085194,12001,59,-0.00015035780349055154,8.119226542508601e-23,0.04499767922814428,11938,122,10,10.920167592003898,-0.0005200862946992383,0.001201761952650909,1.225537895277496,7.517168198163438,True,-0.00042834564499627113,0.000447675134181747,25.33063278232886,-0.1811592494536428,0.20792472916548965
370,right,old_trial,8,-5.526666593788868,37.47444402057272,39.59263318064757,36.87094116829575,56.610107421874986,-84.871826171875,0.12309661394363403,0.19559491295718578,-0.00019322138960939153,-0.0009360823059982976,0.036950669955831385,1608,0,-0.00018827406776815634,2.5804982197764545e-26,0.08257355276355481,1608,0,5,11.677505920944188,-0.00021236678360285843,0.0006121043333936285,1.1389414654469512,14.146056394618887,True,-0.00042834564499627113,0.000447675134181747,25.33063278232886,-0.1811592494536428,0.20792472916548965
370,right,current,4,-10.436424141499534,21.96695418932677,30.169451280810907,17.218301192200034,38.57421875,-49.8046875,0.07852354407873362,0.13295160402219042,-0.00039560163957428766,0.0004910836434732378,0.018340835762440454,779,25,-0.00039560163957428766,0.0004910836434732378,0.018340835762440454,779,25,5,6.02887324930855,-0.00048195681645042194,0.0008193645521107587,1.19929878807882,11.227853185297857,True,-0.00042834564499627113,0.000447675134181747,25.33063278232886,-0.1811592494536428,0.20792472916548965
370,left,baseline,40,-4.675552292249689,22.45575225374992,25.17427721941782,21.709715834725586,31.582031250000004,-76.138916015625,0.06338245281801107,0.07372069997111459,-0.0001008150142422495,-7.610603627603176e-05,0.03276630126686107,8039,1,-0.00010256757356681599,5.2848599541029993e-17,0.032578385687376,8006,34,10,22.545292360843227,-0.00015048523975622985,0.0005303494350636773,1.0956335991293868,9.700485526087428,True,-0.00019615494696283148,0.00019697596198510093,23.2977448197889,-0.08311756122862914,0.0948213695699045
370,left,old_trial,8,-3.27311577488534,31.079073136624178,31.52840032180685,30.71547829088857,48.17138671875,-75.274658203125,0.09146002545704587,0.1342688716316904,-0.00016216746272348183,-0.0005389465728699586,0.043277100733026014,1608,0,-0.0001593190570507878,8.409964731670224e-22,0.06066717481496901,1608,0,10,17.119219362733414,-0.00013019344976291283,0.00033689680375311457,1.1151350065047312,12.81378687525424,True,-0.00019615494696283148,0.00019697596198510093,23.2977448197889,-0.08311756122862914,0.0948213695699045
