phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
52.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06277222633361816,0.044751107932621964,0.0002835449218749897,0.0,-0.06248868141174317,0.044751107932621964,-0.025927734375000004,0.044793401489211744,0.00878448486328125,0.009350865188094092,0.5218612564193714,1.1248609091688895,-0.013713753125739282,-0.0037631304319806188,0.0012640341492440648
53.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06456939220428465,0.03900088457039303,0.0002835449218749897,0.0,-0.06428584728240966,0.03900088457039303,-0.027734985351562488,0.03902884292204916,0.0077947998046875066,0.006584264987475511,0.6112308102054318,1.2242251590505557,-0.012357378541925486,-0.0025759049748964825,0.0023524894070830055
53.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06597908973693847,0.03831251567778961,0.0002835449218749897,0.0,-0.06569554481506348,0.03831251567778961,-0.029170532226562493,0.03831282730180537,0.00697769165039063,0.006588340430577436,0.678954758010552,1.2744831648068937,-0.011177180730267048,-0.0015631957175686433,0.0032673981128953635
54.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.0669498872756958,0.039348418944525856,0.0002835449218749897,0.0,-0.06666634235382081,0.039348418944525856,-0.030170288085937497,0.0393288224982138,0.0063787841796875,0.007098925083980008,0.6443235312864226,1.2987691003925106,-0.010218748129404228,-0.000770607400824342,0.003963146006619078
54.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.0671199893951416,0.03591361372273654,0.0002835449218749897,0.0,-0.06683644447326662,0.03591361372273654,-0.030342407226562507,0.03590263754886632,0.006228179931640625,0.005157848834108713,0.2508367080510592,1.1822948840738363,-0.00971214828468953,-0.00042822371216109066,0.004209639974974142
55.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06546423435211182,0.03646067461512454,0.0002835449218749897,0.0,-0.06518068943023683,0.03646067461512454,-0.028659820556640632,0.03645410931103593,0.006950378417968747,0.005066656725227949,0.029774201221949903,1.026108822286848,-0.010081846057672282,-0.0009605254968023998,0.003582389839489425
55.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06423067569732666,0.03547048264711807,0.0002835449218749897,0.0,-0.06394713077545167,0.03547048264711807,-0.027411727905273433,0.03547504657064925,0.007451629638671876,0.00437790846101533,-0.13169419793260445,0.9204023100839454,-0.01023405713835104,-0.0012737442715059317,0.003175154841786096
56.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06465021610260009,0.03051040785023211,0.0002835449218749897,0.0,-0.0643666711807251,0.03051040785023211,-0.027852783203125,0.030523975574563305,0.00712890625,0.0038389900321781365,-0.2737476553394483,0.9722918368508064,-0.009565720209802809,-0.0007648343907332017,0.0035909714765083997
56.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06309678077697756,0.03770491161859376,0.0002835449218749897,0.0,-0.06281323585510257,0.03770491161859376,-0.02626441955566407,0.0377055486939415,0.007800598144531247,0.00591247617663074,-0.46166408867824904,1.0629871672697273,-0.009895191524954508,-0.0012521676249463484,0.0030114589121362023
57.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06183292865753173,0.038022934414841614,0.0002835449218749897,0.0,-0.06154938373565674,0.038022934414841614,-0.02498870849609375,0.03803325383670697,0.008317565917968749,0.0056637244863610246,-0.5342784961620427,1.0754575544759015,-0.010073298370105524,-0.001586586625641118,0.0025857655250700667
57.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.06092963218688965,0.033234244953509635,0.0002835449218749897,0.0,-0.06064608726501466,0.033234244953509635,-0.024098587036132813,0.03327145519014234,0.008644866943359374,0.004639328295289895,-0.49253610464242614,1.0165893128562435,-0.010065065135904404,-0.0017331309978190403,0.0023488428262857927
58.0,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.0599500322341919,0.03482875018103937,0.0002835449218749897,0.0,-0.05966648731231691,0.03482875018103937,-0.023141174316406263,0.034821465104444366,0.009010620117187496,0.004403645156380533,-0.3880960957987363,0.8147202951807189,-0.010098578060232292,-0.001919902044351769,0.002072580716105367
58.5,15.3828125,0.0,0.0,0.0,236.63092041015625,0.0,-0.062091135978698704,0.03511989139588129,0.0002835449218749897,0.0,-0.061807591056823714,0.03511989139588129,-0.025277175903320286,0.03512209699818456,0.007807464599609388,0.0043054031115410014,-0.4845222170814265,0.7281252572263536,-0.00856644396525859,-0.0005395215045030368,0.0033643487448187875
